completion_time,spatial_errors,target_distance
-1.2285714285714286,-1.654,2
-1.1714285714285713,-0.13800000000000012,2
0.4285714285714286,0.992,1
0.08571428571428574,0.15800000000000003,1
-1.6857142857142855,0.558,3
0.6571428571428571,0.17799999999999994,1
-0.1428571428571428,-0.5980000000000001,1
-0.19999999999999996,0.978,2
-0.48571428571428577,0.668,2
0.48571428571428577,0.38,1
1.342857142857143,1.0,0
1.342857142857143,1.0,0
-0.8857142857142857,-0.9440000000000002,2
-1.2857142857142856,1.0,3
1.2285714285714286,1.0,0
-0.48574285714285703,0.51,3
0.37142857142857144,0.372,1
-0.37142857142857144,-2.2,3
-1.9714285714285715,-2.842,3
-2.942857142857143,0.126,3
0.7714285714285715,0.35,2
0.7142857142857143,1.0,0
-0.8285714285714285,-0.3999999999999999,1
1.4571142857142858,1.0,0
-1.7428571428571429,1.0,2
1.457142857142857,0.76,0
1.5714000000000001,0.884,0
0.19999999999999996,1.0,0
0.2571428571428571,0.0039999999999998925,1
-1.7428571428571429,0.29800000000000004,3
-2.7142857142857144,0.08399999999999996,3
1.342857142857143,1.0,0
-0.8285714285714285,-2.7960000000000003,2
-0.7142857142857142,-0.16400000000000015,3
-0.7142857142857142,0.492,2
-1.2285714285714286,-0.9280000000000002,1
-0.37139999999999995,0.884,2
0.9428285714285715,1.0,1
1.5714571428571429,0.918,0
1.1142857142857143,0.45999999999999996,0
0.9428571428571428,0.718,0
-0.3142571428571428,0.808,2
-0.6571428571428573,1.0,3
0.08571428571428574,1.0,2
-0.2571428571428571,1.0,3
-0.25711428571428585,1.0,3
0.48574285714285714,1.0,1
0.4285714285714286,0.764,2
0.6571428571428571,0.942,1
-0.14282857142857153,0.604,3
0.6000285714285714,0.9359999999999999,2
-0.2571999999999999,-0.15999999999999992,1
0.6,0.39,1
-1.5143428571428572,1.0,3
-1,1.0,2
1.6857142857142857,0.496,0
1.0000285714285715,0.516,1
-0.028542857142857203,0.846,3
1.685742857142857,0.864,0
0.4856857142857143,0.884,3
-0.08571428571428563,0.21999999999999997,2
0.7713714285714286,0.612,3
1.1143142857142856,0.44199999999999995,2
0.6571428571428571,0.32199999999999995,0
-0.8856857142857144,0.124,2
0.8286,1.0,1
1.5142857142857142,0.926,0
1.6857142857142857,1.0,0
0.7714285714285715,0.978,1
1.3428285714285715,0.94,0
0.7142857142857143,1.0,1
-0.08571428571428563,1.0,3
-1.1714571428571428,-3.4979999999999993,3
